Temperatur;Heat high [MWh/m2];Heat Medium (bu6);Heat Low;Base demand;Wind Onshore;Wind Offshore;PV;WW
-4.6;9.28772E-05;4.51865E-05;6.41602E-06;63615.71331;0.1732;0.8117;0.0514;0.00000227
-5.3;9.38691E-05;4.58063E-05;6.9214E-06;62341.94844;0.1725;0.8144;0.0332;0.00000135
-6.2;9.80121E-05;4.64546E-05;8.87281E-06;61702.94844;0.1787;0.8166;0.0137;0.00000135
-6.7;9.51202E-05;4.29023E-05;7.36052E-06;62422.66175;0.1858;0.8131;0.0015;0.00000362
-6.8;9.37756E-05;4.13472E-05;6.70548E-06;65469.80905;0.2008;0.8164;0;0.000005
-6.9;9.39699E-05;4.13215E-05;6.64508E-06;65655.04418;0.2052;0.8144;0;0.00000408
-7.2;9.45379E-05;4.15416E-05;6.6467E-06;63845.66175;0.1993;0.8169;0;0.00000362
-8;9.94548E-05;4.57867E-05;8.10809E-06;59756.94844;0.195;0.8182;0;0.00000135
-9.2;0.000100678;4.60367E-05;7.87336E-06;56763.94844;0.1851;0.8185;0;0.00000135
-9.8;6.32743E-05;1.77684E-05;0;44154.11471;0.1776;0.8179;0;0.00000135
-9.9;7.27166E-05;2.53798E-05;0;40344.95596;0.1703;0.8184;0;0.00000027
-10.8;7.0307E-05;2.33976E-05;0;37631.95596;0.1667;0.8185;0;0.00000027
-10;7.49478E-05;2.66759E-05;0;35830.95596;0.1614;0.816;0;0.00000027
-10.5;7.68199E-05;2.79E-05;0;34792.95596;0.1588;0.8182;0;0.00000027
-10.7;7.82071E-05;2.88006E-05;0;35373.95596;0.1584;0.8188;0;0.00000027
-10.8;7.93651E-05;2.95407E-05;0;36076.95596;0.16;0.8196;0;0.00000027
-11.6;0.000120274;5.98139E-05;1.64297E-05;38167.95596;0.163;0.8216;0;0.00000027
-11.3;0.000112804;5.35075E-05;1.19854E-05;53538.71331;0.1629;0.8198;0;0.00000227
-12;0.000112015;5.19996E-05;1.11459E-05;59115.42661;0.1617;0.8176;0;0.00000454
-11.9;0.00011549;5.54661E-05;1.23909E-05;62096.71331;0.1599;0.8185;0.002;0.00000227
-10.9;0.000113341;5.41858E-05;1.16318E-05;62955.94844;0.1568;0.8076;0.0155;0.00000135
-9.3;0.000104459;5.21875E-05;7.4784E-06;64139.94844;0.1512;0.7901;0.0428;0.00000135
-5.1;9.54781E-05;4.61435E-05;5.2277E-06;65155.66175;0.1422;0.7717;0.064;0.00000362
-1.3;8.73061E-05;4.07768E-05;3.77231E-06;65151.42661;0.1356;0.768;0.0752;0.00000454
-3;9.04519E-05;4.39075E-05;5.06909E-06;64090.71331;0.1311;0.7654;0.0621;0.00000227
-2.8;8.98141E-05;4.35589E-05;5.38773E-06;63276.94844;0.1328;0.7689;0.0412;0.00000135
-3.5;9.3376E-05;4.38523E-05;7.3276E-06;63043.94844;0.1352;0.7632;0.0172;0.00000135
-4.9;9.18285E-05;4.12727E-05;6.07886E-06;63853.66175;0.1367;0.7627;0.0016;0.00000362
-6.1;9.211E-05;4.0762E-05;5.66474E-06;66226.80905;0.1425;0.7676;0;0.000005
-6.3;9.25727E-05;4.09039E-05;5.67172E-06;66100.04418;0.1479;0.7772;0;0.00000408
-7.1;9.39885E-05;4.16228E-05;5.79983E-06;64718.66175;0.1446;0.7899;0;0.00000362
-7.2;9.78655E-05;4.51607E-05;7.13179E-06;61027.94844;0.1426;0.7788;0;0.00000135
-7.1;9.6978E-05;4.40626E-05;6.63007E-06;57621.94844;0.1377;0.7723;0;0.00000135
-7.2;5.86214E-05;1.52317E-05;0;46375.84302;0.1334;0.7689;0;0.00000135
-6.5;6.65544E-05;2.19662E-05;0;42422.68427;0.1335;0.7582;0;0.00000027
-6.8;6.26773E-05;1.90977E-05;0;39655.68427;0.1274;0.759;0;0.00000027
-5.1;6.51987E-05;2.1137E-05;0;37652.68427;0.1232;0.7634;0;0.00000027
-4;6.39382E-05;2.0589E-05;0;36861.68427;0.1153;0.7704;0;0.00000027
-3.4;6.33092E-05;2.04747E-05;0;36909.68427;0.1136;0.777;0;0.00000027
-2.7;6.2437E-05;2.0212E-05;0;37624.68427;0.1124;0.7766;0;0.00000027
-1.8;9.98437E-05;4.8547E-05;1.25655E-05;39035.68427;0.1172;0.7785;0;0.00000027
-1.6;9.14382E-05;4.19542E-05;8.21961E-06;50747.71331;0.1116;0.7995;0;0.00000227
-0.8;8.73265E-05;3.86734E-05;7.06137E-06;55700.42661;0.1126;0.8048;0;0.00000454
-0.4;8.95807E-05;4.15991E-05;8.3818E-06;58639.71331;0.11;0.8078;0.0032;0.00000227
0;8.78394E-05;4.07253E-05;7.95513E-06;59658.94844;0.1012;0.8082;0.0197;0.00000135
1.1;8.48407E-05;3.91501E-05;7.31696E-06;61310.94844;0.0972;0.8063;0.0466;0.00000135
1.6;8.20271E-05;3.68902E-05;6.11089E-06;63156.66175;0.0901;0.7842;0.0697;0.00000362
1.6;8.03517E-05;3.56894E-05;5.52834E-06;62907.42661;0.0754;0.7852;0.0722;0.00000454
1.2;8.22146E-05;3.76525E-05;6.69423E-06;61588.71331;0.0682;0.7758;0.0596;0.00000227
1.2;8.1821E-05;3.74656E-05;6.87592E-06;60458.94844;0.0632;0.787;0.0375;0.00000135
1.3;8.11167E-05;3.70456E-05;6.77229E-06;59919.94844;0.0666;0.7966;0.013;0.00000135
1.2;7.69437E-05;3.3033E-05;5.06037E-06;60800.66175;0.0722;0.7981;0.001;0.00000362
1.5;7.44033E-05;3.08925E-05;4.29829E-06;62616.80905;0.0831;0.7939;0;0.000005
1.5;7.39168E-05;3.06308E-05;4.20876E-06;63839.04418;0.0893;0.7843;0;0.00000408
1.6;7.3308E-05;3.02845E-05;4.10521E-06;62270.66175;0.0937;0.7978;0;0.00000362
1.8;7.60812E-05;3.33686E-05;5.33633E-06;58984.94844;0.097;0.7989;0;0.00000135
2.1;7.42602E-05;3.19167E-05;4.75344E-06;56330.94844;0.093;0.7976;0;0.00000135
2.1;3.50999E-05;2.83438E-06;0;47113.54108;0.0936;0.7903;0;0.00000135
2.1;4.3608E-05;1.01462E-05;0;43215.38232;0.0908;0.8064;0;0.00000027
2.3;3.86964E-05;6.79704E-06;0;40166.38232;0.0929;0.7934;0;0.00000027
2.3;4.38167E-05;1.07327E-05;0;38151.38232;0.0955;0.7882;0;0.00000027
2.3;4.42472E-05;1.12891E-05;0;37369.38232;0.0994;0.8011;0;0.00000027
2.1;4.49677E-05;1.20069E-05;0;37703.38232;0.1054;0.7965;0;0.00000027
2.1;4.53594E-05;1.24886E-05;0;39112.38232;0.1071;0.8122;0;0.00000027
2.1;8.44596E-05;4.1794E-05;1.13848E-05;42161.38232;0.107;0.8238;0;0.00000027
1.8;7.73202E-05;3.59293E-05;7.20247E-06;56700.71331;0.1192;0.8176;0;0.00000227
1.6;7.52039E-05;3.37664E-05;6.30029E-06;63078.42661;0.1388;0.823;0;0.00000454
1.3;7.9005E-05;3.75213E-05;7.78781E-06;65582.71331;0.1574;0.8239;0.0038;0.00000227
1.2;7.86072E-05;3.72829E-05;7.53238E-06;66113.94844;0.1891;0.8281;0.0309;0.00000135
1.3;7.78702E-05;3.68594E-05;7.22585E-06;66306.94844;0.202;0.826;0.0727;0.00000135
1.2;7.65168E-05;3.55108E-05;6.0827E-06;67475.66175;0.1996;0.826;0.0998;0.00000362
1.1;7.54005E-05;3.44156E-05;5.4775E-06;67585.42661;0.2014;0.8267;0.0856;0.00000454
1.2;7.69638E-05;3.59974E-05;6.55535E-06;66897.71331;0.2116;0.8263;0.0508;0.00000227
1.3;7.69334E-05;3.59656E-05;6.75587E-06;66434.94844;0.237;0.8257;0.0234;0.00000135
1.1;7.71069E-05;3.58091E-05;6.77789E-06;65887.94844;0.2718;0.8225;0.0072;0.00000135
0.9;7.35458E-05;3.20001E-05;5.14949E-06;66485.66175;0.3024;0.8179;0.0006;0.00000362
0.7;7.21774E-05;3.04637E-05;4.51632E-06;68968.80905;0.327;0.8196;0;0.000005
0.8;7.19273E-05;3.02093E-05;4.42958E-06;68620.04418;0.363;0.8195;0;0.00000408
0.6;7.21526E-05;3.02635E-05;4.41112E-06;66257.66175;0.386;0.8154;0;0.00000362
0.4;7.59237E-05;3.38512E-05;5.74801E-06;62192.94844;0.4125;0.8147;0;0.00000135
0.3;7.51062E-05;3.28943E-05;5.2671E-06;58348.94844;0.4398;0.8157;0;0.00000135
0.2;3.64898E-05;4.01868E-06;0;48392.79021;0.4553;0.8163;0;0.00000135
0.1;4.55223E-05;1.15307E-05;0;44373.63146;0.4638;0.7692;0;0.00000027
0.1;4.12775E-05;8.47294E-06;0;41398.63146;0.4826;0.8048;0;0.00000027
0.1;4.67346E-05;1.25069E-05;0;39448.63146;0.4986;0.7135;0;0.00000027
0;4.76288E-05;1.32462E-05;0;38262.63146;0.5072;0.6236;0;0.00000027
0;4.83155E-05;1.3839E-05;0;38580.63146;0.5152;0.7027;0;0.00000027
-0.2;4.92756E-05;1.45954E-05;0;39698.63146;0.5239;0.6668;0;0.00000027
-0.5;8.90867E-05;4.42844E-05;1.2499E-05;42404.63146;0.5414;0.7478;0;0.00000027
-0.7;8.20592E-05;3.83983E-05;8.19852E-06;57065.71331;0.5674;0.7883;0;0.00000227
-0.8;8.00106E-05;3.61993E-05;7.27119E-06;63156.42661;0.5745;0.7569;0;0.00000454
-0.8;8.35213E-05;3.97037E-05;8.68797E-06;65862.71331;0.5833;0.7496;0.0087;0.00000227
-0.6;8.27795E-05;3.91997E-05;8.36009E-06;66325.94844;0.5742;0.76;0.0721;0.00000135
-0.4;8.21588E-05;3.88659E-05;8.07766E-06;66144.94844;0.5595;0.7746;0.1599;0.00000135
-0.1;7.95899E-05;3.69731E-05;6.49731E-06;66829.66175;0.5521;0.7428;0.2238;0.00000362
0;7.84892E-05;3.56843E-05;6.04422E-06;66352.42661;0.5207;0.6993;0.2335;0.00000454
0.3;7.94597E-05;3.70514E-05;6.92254E-06;64714.71331;0.4738;0.5702;0.1886;0.00000227
0.2;7.99574E-05;3.72296E-05;7.29699E-06;63118.94844;0.4202;0.4237;0.1151;0.00000135
0.1;8.01814E-05;3.7125E-05;7.36057E-06;62144.94844;0.375;0.2297;0.0448;0.00000135
0;7.65092E-05;3.32373E-05;5.70737E-06;63299.66175;0.369;0.0795;0.003;0.00000362
-0.1;7.50086E-05;3.16114E-05;5.04673E-06;66894.80905;0.3558;0.0382;0;0.000005
-0.1;7.493E-05;3.14625E-05;4.97355E-06;65958.04418;0.3262;0.056;0;0.00000408
-0.2;7.48439E-05;3.12723E-05;4.87642E-06;63887.66175;0.3018;0.117;0;0.00000362
-0.4;7.8587E-05;3.48594E-05;6.20624E-06;59884.94844;0.2735;0.2002;0;0.00000135
-0.6;7.79069E-05;3.40091E-05;5.74137E-06;56513.94844;0.2421;0.3927;0;0.00000135
-1;3.97934E-05;5.4419E-06;0;46192.93057;0.2116;0.4945;0;0.00000135
-1;4.86911E-05;1.28622E-05;0;42856.77181;0.188;0.6284;0;0.00000027
-1.1;4.46028E-05;9.92182E-06;0;39785.77181;0.1579;0.71;0;0.00000027
-1.1;5.00833E-05;1.39525E-05;0;37729.77181;0.1444;0.6684;0;0.00000027
-1.1;5.08464E-05;1.46032E-05;0;36264.77181;0.1364;0.6305;0;0.00000027
-1.3;5.18673E-05;1.54085E-05;0;36028.77181;0.1331;0.5275;0;0.00000027
-1.2;5.23792E-05;1.58753E-05;0;36254.77181;0.1408;0.479;0;0.00000027
-1.1;9.15519E-05;4.51449E-05;1.30004E-05;35769.77181;0.133;0.4977;0;0.00000027
-0.9;8.38252E-05;3.88456E-05;8.62586E-06;43772.71331;0.139;0.5358;0;0.00000227
-0.8;8.13508E-05;3.64201E-05;7.63543E-06;46095.42661;0.1466;0.4629;0;0.00000454
-0.8;8.47469E-05;3.99005E-05;9.03335E-06;49627.71331;0.1553;0.435;0.005;0.00000227
-0.7;8.4094E-05;3.94785E-05;8.72711E-06;52413.94844;0.161;0.4203;0.0398;0.00000135
-0.6;8.34222E-05;3.90698E-05;8.42463E-06;54183.94844;0.1551;0.4149;0.0882;0.00000135
-0.5;8.14349E-05;3.73773E-05;7.07473E-06;55607.66175;0.124;0.4192;0.1281;0.00000362
-0.5;8.00805E-05;3.61732E-05;6.41699E-06;54647.42661;0.1012;0.4524;0.1324;0.00000454
-0.6;8.20255E-05;3.79565E-05;7.58483E-06;53239.71331;0.0925;0.4552;0.114;0.00000227
-0.8;8.25406E-05;3.82401E-05;7.87551E-06;52314.94844;0.0928;0.4154;0.0743;0.00000135
-1;8.28227E-05;3.82471E-05;7.88649E-06;51960.94844;0.1178;0.3926;0.0276;0.00000135
-0.9;7.88052E-05;3.41515E-05;6.16338E-06;53212.66175;0.1663;0.3508;0.0024;0.00000362
-1.1;7.74534E-05;3.26278E-05;5.51558E-06;57019.80905;0.2046;0.3794;0;0.000005
-1.3;7.77008E-05;3.26883E-05;5.4784E-06;57399.04418;0.2257;0.4419;0;0.00000408
-1.4;7.78232E-05;3.26682E-05;5.4292E-06;55913.66175;0.2416;0.4659;0;0.00000362
-1.3;8.1139E-05;3.59579E-05;6.6872E-06;52405.94844;0.2441;0.4898;0;0.00000135
-1.4;8.03348E-05;3.5023E-05;6.19863E-06;50363.94844;0.2443;0.4982;0;0.00000135
-1.4;4.15636E-05;6.05117E-06;0;38904.16041;0.251;0.575;0;0.00000135
-1.7;5.09036E-05;1.37664E-05;0;35332.00166;0.2565;0.6315;0;0.00000027
